STT,Danh mục,URL danh mục,Tên tạp chí
1,A,https://link.springer.com/journals/a/1,AAPPS Bulletin
2,A,https://link.springer.com/journals/a/1,AAPS Open
3,A,https://link.springer.com/journals/a/1,AAPS PharmSciTech
4,A,https://link.springer.com/journals/a/1,ADHD Attention Deficit and Hyperactivity Disorders
5,A,https://link.springer.com/journals/a/1,AI & SOCIETY
6,A,https://link.springer.com/journals/a/1,AI Perspectives
7,A,https://link.springer.com/journals/a/1,AI and Ethics
8,A,https://link.springer.com/journals/a/1,AI in Civil Engineering
9,A,https://link.springer.com/journals/a/1,AIDS Research and Therapy
10,A,https://link.springer.com/journals/a/1,AIDS and Behavior
11,A,https://link.springer.com/journals/a/1,AMB Express
12,A,https://link.springer.com/journals/a/1,AMS Review
13,A,https://link.springer.com/journals/a/1,ANNALI DELL'UNIVERSITA' DI FERRARA
14,A,https://link.springer.com/journals/a/1,ARI - An International Journal for Physical and Engineering Sciences
15,A,https://link.springer.com/journals/a/1,ASEAN Heart Journal
16,A,https://link.springer.com/journals/a/1,AStA Advances in Statistical Analysis
17,A,https://link.springer.com/journals/a/1,AStA Wirtschafts- und Sozialstatistisches Archiv
18,A,https://link.springer.com/journals/a/1,ATZ - Automobiltechnische Zeitschrift
19,A,https://link.springer.com/journals/a/1,ATZ worldwide
20,A,https://link.springer.com/journals/a/1,ATZagenda
21,A,https://link.springer.com/journals/a/1,ATZautotechnology
22,A,https://link.springer.com/journals/a/1,ATZelectronics worldwide
23,A,https://link.springer.com/journals/a/1,ATZelektronik
24,A,https://link.springer.com/journals/a/1,ATZextra
25,A,https://link.springer.com/journals/a/1,ATZextra worldwide
26,A,https://link.springer.com/journals/a/1,ATZheavy duty
27,A,https://link.springer.com/journals/a/1,ATZheavy duty worldwide
28,A,https://link.springer.com/journals/a/1,ATZproduction worldwide
29,A,https://link.springer.com/journals/a/1,ATZproduktion
30,A,https://link.springer.com/journals/a/1,Abdominal Radiology
31,A,https://link.springer.com/journals/a/1,Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg
32,A,https://link.springer.com/journals/a/1,Academic Psychiatry
33,A,https://link.springer.com/journals/a/1,Accreditation and Quality Assurance
34,A,https://link.springer.com/journals/a/1,Acoustical Physics
35,A,https://link.springer.com/journals/a/1,Acoustics Australia
36,A,https://link.springer.com/journals/a/1,Acta Analytica
37,A,https://link.springer.com/journals/a/1,Acta Applicandae Mathematicae
38,A,https://link.springer.com/journals/a/1,Acta Biotheoretica
39,A,https://link.springer.com/journals/a/1,Acta Diabetologica
40,A,https://link.springer.com/journals/a/1,Acta Endoscopica
41,A,https://link.springer.com/journals/a/1,Acta Epileptologica
42,A,https://link.springer.com/journals/a/1,Acta Geochimica
43,A,https://link.springer.com/journals/a/1,Acta Geodaetica et Geophysica
44,A,https://link.springer.com/journals/a/1,Acta Geophysica
45,A,https://link.springer.com/journals/a/1,Acta Geotechnica
46,A,https://link.springer.com/journals/a/1,Acta Informatica
47,A,https://link.springer.com/journals/a/1,Acta Juridica Hungarica
48,A,https://link.springer.com/journals/a/1,Acta Linguistica Hungarica
49,A,https://link.springer.com/journals/a/1,Acta Mathematica
50,A,https://link.springer.com/journals/a/1,Acta Mathematica Hungarica
51,A,https://link.springer.com/journals/a/1,Acta Mathematica Scientia
52,A,https://link.springer.com/journals/a/1,"Acta Mathematica Sinica, English Series"
53,A,https://link.springer.com/journals/a/1,Acta Mathematica Vietnamica
